53.462428273716775,14.588203547027078;53.462195132601536,14.588597831752267;53.46185020915136,14.587916550662484;53.46214243614469,14.587331829097238
53.4662041173766,14.590745645793248;53.46603805915515,14.590325880082418;53.46617218315371,14.59011934998827;53.46632466885157,14.590559232266713
53.46337710932089,14.580824360603053;53.46292361090472,14.581983074897487;53.46146727337515,14.580041155570704;53.46211879897166,14.578979000800807
53.45346690591098,14.567016267741462;53.45339024074033,14.567963087523719;53.45289989981322,14.567767286265632;53.45297976028498,14.566860699618598
53.456085660965776,14.55741897405825;53.455941922521355,14.557204397337058;53.45546598508838,14.55791250051699;53.455721522628274,14.558250458852866
53.455433021042055,14.558244644401505;53.455365109206355,14.558394849300385;53.455423611406296,14.558528958557083
53.45968099876904,14.556749979963607;53.458927228893394,14.557372252455062;53.45918274560469,14.558488051405257;53.459834306258706,14.557822863569564
53.459817732009896,14.555131125721749;53.45931948045007,14.555152583393868;53.4592683773954,14.553468156132515;53.4597666295549,14.553543257984932
53.46057126897776,14.554835561071515;53.46027104650216,14.55497503594029;53.46033172993969,14.555795791898847;53.46066708421457,14.555683139120221
53.46662670280796,14.53696273374327;53.46671611761413,14.536758885858138;53.46653728781344,14.536501393792708;53.4664382924212,14.53671060609587
53.46703050710509,14.54142332988952;53.46622412443331,14.542186260223389;53.46617467828702,14.54018414932464;53.46699218678074,14.54016805607055
53.451785147469614,14.556453799610484;53.451139852411536,14.55629286706959;53.4514200439605,14.555039405822754;53.4518107035077,14.55505905092274
53.44759777595285,14.547080412347716;53.447278292684445,14.547321811159057;53.44716647297283,14.546844377954406;53.44750512605237,14.546570792634887
53.44658081213362,14.552329906907202;53.44641148224684,14.552568623509528;53.44629486787573,14.552206525292517;53.446451418601725,14.55199463078034
53.442850735751584,14.546503487836592;53.44257275438307,14.546911183606856;53.4422819903158,14.54606360555815;53.44266861023285,14.545682731878035
53.42960265068722,14.536258856181913;53.42934695600191,14.537103752021604;53.42904651278122,14.536773840312772;53.429364535060756,14.535875300292783
53.429019419856296,14.562474686192667;53.429278312710366,14.562691945122873;53.429401366168385,14.561930197762644;53.42916484751782,14.561766583012735
53.42551059415071,14.518553577791472;53.42496718879837,14.518585764299651;53.42482014850901,14.51685842169406;53.425357162754935,14.516944252382537
53.42581603176889,14.519049586522241;53.42480593882698,14.519274892079492;53.42488265558878,14.520637454259058;53.42595028282136,14.520283402669092
53.437342736086265,14.519891718367258;53.4358855211876,14.520127752760569;53.43584717275231,14.517316797712962;53.43699761075786,14.517188051680247
53.43398939749886,14.520734669632889;53.433378986894695,14.520890237755752;53.43327352239423,14.519168259568191;53.43397022243001,14.51894295401094
53.437420290420405,14.516617977989434;53.43699207972765,14.516145909202812;53.437695109934936,14.515684569252251;53.43721577241889,14.515030110252617
53.43341760541151,14.505104164188936;53.433037293146874,14.505061248844697;53.43346234780715,14.504320959156587;53.43312677869179,14.50423512846811
53.43206088166267,14.504139158198099;53.431635812985995,14.50410697168992;53.431661381146846,14.503559801050882;53.43209923351463,14.50361880964921
53.45381705531999,14.505633054985454;53.45282679437922,14.507081447853496;53.452392350034344,14.506287513985088;53.453446508768266,14.504710375084331
53.46112529552923,14.510223530490451;53.461431899525024,14.509381316859775;53.46105822560999,14.50902190085178;53.46072926209093,14.509923123080783
53.461099862181634,14.527872655573129;53.46062717640027,14.528409097376107;53.46046109636292,14.528001401605843;53.460946559261565,14.527486417474984
53.42674411309842,14.557251793816878;53.426469222764744,14.557165963128401;53.42656191854104,14.556409580186202;53.426811237212206,14.55646858878453
53.42231040225937,14.542534846960503;53.4219635564793,14.542333681284386;53.42202749139802,14.541866976915795;53.422375935015204,14.542070824800927
53.41649401382301,14.542653169515098;53.41614232481712,14.542524423482384;53.41623184593092,14.541403260114159;53.41661230856225,14.54160710799929
53.4052308512676,14.522126085704569;53.40470157793637,14.521804220622782;53.40554425472846,14.520742065852884;53.40503417342691,14.520331687873606
53.39961117387764,14.523556680052714;53.39895549094351,14.523207992880778;53.399131406868754,14.522746652930216;53.39970072978687,14.523122162192301
53.4000877395411,14.52863261545747;53.39985265701549,14.528446201930935;53.39990543075673,14.528263811717922;53.40013651500449,14.52844351972192
53.42032707615465,14.503174686400872;53.41922414122456,14.502842092483025;53.41924971685127,14.501420521705132;53.42040060413279,14.501694107024651
53.420005856753065,14.541791504106353;53.41951033505859,14.541525965413879;53.419587061376234,14.540750807008575;53.420080983731616,14.541045850000213
53.44657514440413,14.538085508528814;53.446316356911666,14.538782882872686;53.445920185350545,14.538396644774542;53.446153415829805,14.537634897414312
53.44751132329157,14.507914154120995;53.447044875963485,14.507881967612816;53.44704807082563,14.507425992080284;53.44754007672638,14.507471589633537
53.45564205815848,14.475631499750836;53.45508945526154,14.47526671932481;53.455255556310156,14.47455861614488;53.45573469031027,14.474901938898785
53.45021398078623,14.490500003677864;53.45042163083197,14.490387350899239;53.45030023554389,14.489647061211128;53.4501373097435,14.489684612137337
53.47666473958575,14.435547593377445;53.47637101623311,14.435362520955417;53.47646519948612,14.434965554021213;53.47671103275476,14.435241821549747
53.44031490353478,14.566062066935132;53.439982583921605,14.566062066935132;53.43999536549325,14.565246675394604;53.440330880373786,14.565230582140515
